web-scraper-order,web-scraper-start-url,brand_raw,year_raw,km_raw,ps_raw,place_raw,price_raw,modell_raw,gear_raw,fuel_raw
"1671628603-225,""https://www.autolina.ch/carList/page/46?region=ZH"",""CITROEN"",""2018"",""19'800"",""82"",""8604 Hegnau / Volketswil / ZH"",""13'900"",""C3 1.2i PureTech Feel"",""Handschaltung"",""Benzin"""
"1671628607-226,""https://www.autolina.ch/carList/page/45?region=ZH"",""BMW"",""null"",""10"",""204"",""8004 Zürich / ZH"",""56'600"",""223i Active Tourer Luxury Line DKG"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628607-227,""https://www.autolina.ch/carList/page/45?region=ZH"",""BMW"",""null"",""10"",""326"",""8004 Zürich / ZH"",""65'500"",""230e Active Tourer M Sport"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628607-228,""https://www.autolina.ch/carList/page/45?region=ZH"",""BMW"",""null"",""10"",""292"",""8004 Zürich / ZH"",""85'500"",""X3 30e Travel"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628607-229,""https://www.autolina.ch/carList/page/45?region=ZH"",""BMW"",""null"",""10"",""292"",""8004 Zürich / ZH"",""85'500"",""X3 30e Travel"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628607-230,""https://www.autolina.ch/carList/page/45?region=ZH"",""BMW"",""null"",""10"",""326"",""8004 Zürich / ZH"",""64'600"",""230e Active Tourer M Sport"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628607-231,""https://www.autolina.ch/carList/page/45?region=ZH"",""BMW"",""null"",""10"",""326"",""8004 Zürich / ZH"",""65'500"",""230e Active Tourer M Sport"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628607-232,""https://www.autolina.ch/carList/page/45?region=ZH"",""BMW"",""2020"",""27'000"",""286"",""8004 Zürich / ZH"",""56'900"",""530d 48V Touring M Sport Steptronic"",""Automat"",""Mild-Hybrid Diesel/Elektro"""
"1671628607-233,""https://www.autolina.ch/carList/page/45?region=ZH"",""MERCEDES-BENZ"",""2021"",""13'901"",""194"",""8604 Hegnau-Volketswil / ZH"",""41'980"",""C 220 d AMG Line 9G-Tronic Night"",""Automat"",""Diesel"""
"1671628607-234,""https://www.autolina.ch/carList/page/45?region=ZH"",""AUDI"",""null"",""5"",""204"",""8604 Hegnau-Volketswil / ZH"",""36'930"",""A4 40 TFSI S line S-tronic"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
